FunctionName,min,avg,median,max,#calls
getAllTenders,8989,450413,443749,917710,100
getAuctionWinner,911,911,911,911,100
hashVal,596,596,596,596,100
postTender,733337,733462,733337,745837,100
reclaimTender,8752,8752,8752,8752,100
revealBid,29577,29577,29577,29577,100
secretBid,92334,92354,92334,94334,100
