addAdmin,31655,22155,21755
addAmbulance,29647,22047,21727
addHospital,29581,21981,21661
addInitiator,29603,22003,21683
isAdmin,570,570,570
isAmbulance,504,504,504
isHospital,525,525,525
isInitiator,569,569,569
removeAdmin,800,800,800
removeAmbulance,836,836,836
removeHospital,836,836,836
removeInitiator,871,871,871
