addAdmin, addAmbulance, addInitiator, addHospital, isAdmin, isAmbulance, isInitiator, isHosptial, removeAmbulance, removeInitiator, removeHospital, removeAdmin
33,29,29,31,6,5,5,5,29,25,28,25,
37,31,31,29,6,5,6,5,30,27,29,27,
